key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-401776408,Environmental policy behavioral spillovers: The impact of California's single-use carryout bag ban on the use of unregulated single-use plastics,2025,3,,APPLIED ECONOMIC PERSPECTIVES AND POLICY,2040-5790,47,1,372-393,"Yoon, Sungeun and House, Lisa and Gao, Zhifeng",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1002/aepp.13473,environmental policy; food consumption; single-use plastics; spillover effect; synthetic control ...,,,""
rayyan-401776409,The Impact of Social Norms on Consumer Willingness to Choose Green Packaging for an Extra Charge in the United States and South Korea,2024,10,,JOURNAL OF INTERNATIONAL CONSUMER MARKETING,0896-1530,36,5,463-484,"Kim, Jaisang and Kitkuakul, Sakawrat and Alden, Dana L.",,English,"ROUTLEDGE JOURNALS, TAYLOR \& FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,"",10.1080/08961530.2024.2303583,Culture; social norms; green consumption; biodegradable food packaging; single-use plastic,,,""
rayyan-401776410,"Social Cognitive Theory and Reciprocal Relationship: A Guide to Single-Use Plastic Education for Policymakers, Business Leaders and Consumers",2023,3,,SUSTAINABILITY,,15,5,,"Fischbach, Sarah and Yauney, Brielle",,English,MDPI,"MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND",,"",10.3390/su15053946,single-use plastic; bans and rebate programs; sustainability; green consumer values; solution guide,,,""
rayyan-401776411,SINGLE-USE PLASTIC WASTE IN COMMON ENDOUROLOGIC CASES: CHARACTERIZATION OF A GROWING ENVIRONMENTAL CRISIS AND IMPACT OF POSSIBLE INTERVENTIONS,2023,4,,JOURNAL OF UROLOGY,0022-5347,209,4,E55,"Masterson, John M. and Castaneda, Peris and Naser-Tavakolian, Aurash and Dallmer, Jeremiah and Taich, Lior and Kramer, Jordan and Chen, Andrew and Kuhlmann, Paige and Garcia, Maurice M. and Daskivich, Timothy J.",,English,LIPPINCOTT WILLIAMS \& WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA",,"",,"",,,""
rayyan-401776412,Management strategies for single-use plastics: lessons to learn from Indian approach of minimizing microplastic waste,2023,11,,ENVIRONMENTAL SCIENCE-ADVANCES,,2,12,1680-1695,"Singh, Surya and Biswas, Mrinal Kanti",,English,ROYAL SOC CHEMISTRY,"THOMAS GRAHAM HOUSE, SCIENCE PARK, MILTON RD, CAMBRIDGE CB4 0WF, CAMBS, ENGLAND",,"",10.1039/d3va00222e,"",,,""
rayyan-401776413,RETHINKING SINGLE USE PLASTICS AT MEDICAL SCHOOL Micro-nanoplastics: a serious threat to whales' ` health and conservation,2024,9,,BMJ-BRITISH MEDICAL JOURNAL,0959-535X,386,,,"Di Guardo, Giovanni",,English,BMJ PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND",,"",10.1136/bmj.q2095,"",,,""
rayyan-401776414,Analysis of Factors of Single-Use Plastic Avoidance Behavior for Environmental Sustainability in China,2023,5,,PROCESSES,,11,5,,"Gu, Feng and Zhu, Zhaowei and Ali, Sharafat",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/pr11051412,plastic avoidance behavior; climate change and governance; policy intervention; subjective norms;...,,,""
rayyan-401776415,Reducing single-use plastic in everyday social practices: Insights from a living lab experiment,2024,1,,RESOURCES CONSERVATION AND RECYCLING,0921-3449,200,,,"Rabiu, Mubarik K. and Jaeger-Erben, Melanie",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.resconrec.2023.107303,Single -use plastic; Consumption; Reduce; Diary study; Everyday practices; Plastic avoidance,,,""
rayyan-401776416,Single-use plastic or paper products? A dilemma that requires societal change,2024,4,,CLEANER WASTE SYSTEMS,,7,,,"Simantiris, Nikolaos",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.clwas.2023.100128,Single-use plastic; Single-use paper; Environmental pollution; Health hazards; Societal change,,,""
rayyan-401776417,Breaking the bag habit: Testing interventions to reduce plastic bag demand,2025,2,,ECOLOGICAL ECONOMICS,0921-8009,228,,,"Antinyan, Armenak and Corazzini, Luca",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.ecolecon.2024.108454,Pro-environmental behavior; Nudge; Financial bonus; Reusable bag; Single-use plastic bag; Randomi...,,,""
rayyan-401776418,Biodegradable products from renewable sources: impact on replacing single-use plastic for protecting the environment,2025,4,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1735-1472,22,7,6181-6208,"Raghunathan, R. and Nelluri, P. and Rajendran, D. and Pandiselvam, R. and Thulasiraman, V. and Sahoo, S. K. and Pillai, S. and Jerome, R. E. and Kothakota, A.",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"",10.1007/s13762-024-06104-7,Single-use plastics; Biodegradable; Polysaccharide; Modification methods; Renewable sources,,,""
rayyan-401776419,Canada must uphold its classification of single-use plastics,2023,12,,NATURE,0028-0836,624,7992,522,"Walker, Tony R.",,English,NATURE PORTFOLIO,"HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY",,"",10.1038/d41586-023-04061-8,Policy; Industry; Law,,,""
rayyan-401776420,Plastic pollution in a rapidly developing nation: A comprehensive assessment of litter and marine debris surrounding coastal Cambodia,2024,11,,MARINE POLLUTION BULLETIN,0025-326X,208,,,"Roman, Lauren and Kong, Majel and Barilli, Enrico and Chanrout, Ren and Lawson, T. J. and Schuyler, Qamar and Hardesty, Britta Denise",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"",10.1016/j.marpolbul.2024.116872,Asia; Beached plastic; Plastic water bottle; Polystyrene foam; River; Single use plastics,,,""
rayyan-401776421,Citizen science through a recreational underwater diving project supports the collection of large-scale marine litter data: The Oceania case study,2024,3,,MARINE POLLUTION BULLETIN,0025-326X,200,,,"Sciutteri, V. and Costa, V. and Malara, D. and Figurella, F. and Campbell, I. and Deery, E. and Romeo, T. and Andaloro, F. and Consoli, P.",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"",10.1016/j.marpolbul.2024.116133,Lost fishing gear; Marine debris; Single -use plastic; Seafloor litter; Pollution; Plastic fragment,,,""
rayyan-401776422,Impact of Policy Design on Plastic Waste Reduction in Africa,2024,1,,SUSTAINABILITY,,16,1,,"Omondi, Isaac and Asari, Misuzu",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/su16010004,single-use plastic; bags; packaging; plastic policies; policy design; policy coherence; policy re...,,,""
rayyan-401776423,The degradation of single-use plastics and commercially viable bioplastics in the environment: A review,2023,8,,ENVIRONMENTAL RESEARCH,0013-9351,231,1,,"Idris, Siti Norliyana and Amelia, Tan Suet May and Bhubalan, Kesaven and Lazim, Anim Maisara Mohd and Zakwan, Nurul Aliah Mohd Ahmad and Jamaluddin, Muhammad Imran and Santhanam, Rameshkumar and Amirul, Al-Ashraf Abdullah and Vigneswari, Sevakumaran and Ramakrishna, Seeram",,English,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",,"",10.1016/j.envres.2023.115988,Disposable plastics; Biobased plastics; Biopolymer; Biodegradable; Degradation; Compostable,,,""
rayyan-401776424,Survey of physician journal subscription experiences: Environmental packaging,2023,11,,JOURNAL OF CLIMATE CHANGE AND HEALTH,,14,,,"Quevada, Kristian and Cerceo, Elizabeth and O'Neill, Liam Martin Ortaliz and Gudla, Vishaal and Ahmed-Zaidi, Syeda and Germaine, Pauline",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.joclim.2023.100266,Medical journal distribution; Single -use plastics; Biodegradable materials,,,""
